molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,target_pref_name,target_organism,activity_comment,assay_description,document_journal,document_year
CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,5000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),J Med Chem,2000
CHEMBL450926,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,2700,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),J Med Chem,2000
CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,1800,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),J Med Chem,2000
CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,11000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),J Med Chem,2000
CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,10000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L),J Med Chem,2000
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,305000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,75000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,77000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,94000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide,J Med Chem,2005
CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,21000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,46000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide,J Med Chem,2005
CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,129000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL194274,CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,83000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196321,COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,67000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196322,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,210000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,41000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL197202,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,35000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL194760,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1,-1,%,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide,J Med Chem,2005
CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,111000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196246,O=C(O)C1(c2ccc(-c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,22000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 um,J Med Chem,2005
CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,41000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,14000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL196946,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,96300,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196946,O=C(O)C1(c2ccc(-c3csc4ccccc34)c(F)c2)CC1,-5,%,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,46000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,101000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL194692,CC(C)(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,70600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,31600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,409000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide 100 uM,J Med Chem,2005
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,33600,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,111000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Concentration required to inhibit A beta 40 peptide,J Med Chem,2005
CHEMBL427548,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,57900,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
CHEMBL197140,CC1(C)CC(Oc2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC(C)(C)C1,11000,nM,IC50,Amyloid-beta A4 protein,Homo sapiens,,Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL),J Med Chem,2005
